S/N,Date,Country,Rented_Bike_Count,Hour,Temperature,Humidity,Windspeed,Visibility,Dewpoint_Temp,Solar_Radiation,Rainfall,Snowfall,Open,Hit_Sales,Region,Latitude,Longitude
124,12/5/2018,JP,62,3,-6.9,39,2,5,-18.5,0,0,low,Yes,N,South,37.20287646,127.6399219
125,12/5/2018,JP,42,4,-7.2,34,3,5,-20.4,0,0,low,Yes,N,South,37.12007435,127.9159769
126,12/5/2018,JP,82,5,-7.4,33,2.6,5,-20.9,0,0,low,Yes,N,South,37.8251596,128.4495572
127,12/5/2018,JP,172,6,-7.4,34,3.2,5,-20.6,0,0,low,Yes,N,South,37.99374877,127.6667576
128,12/5/2018,JP,381,7,-7.5,33,2.2,5,-21,0,0,low,Yes,N,South,37.80558078,127.8725164
129,12/5/2018,JP,812,8,-8.1,36,1.6,5,-20.5,0.01,0,low,Yes,N,South,37.08428023,127.8923424
130,12/5/2018,JP,462,9,-7.6,31,1.3,4,-21.8,0.21,0,low,Yes,N,South,37.77577694,128.450072
131,12/5/2018,JP,269,10,-5.5,26,2.8,4,-22,0.64,0,low,Yes,N,South,37.76450589,128.4643659
132,12/5/2018,JP,334,11,-3.9,25,0,4,-21,0,0,low,Yes,N,South,37.33682308,127.5549173
133,12/5/2018,JP,321,12,-2.3,25,0,4,-19.7,0,0,low,Yes,N,South,37.00511386,128.2800266
134,12/5/2018,JP,325,13,-1.6,27,0,4,-18.2,0,0,low,Yes,N,South,37.20012795,127.8378387
135,12/5/2018,JP,334,14,-1.1,28,0,5,-17.3,0,0,low,Yes,N,South,37.51951596,127.8878087
136,12/5/2018,JP,353,15,-0.7,28,0,5,-16.9,0,0,low,Yes,N,South,37.9204758,127.8005205
137,12/5/2018,JP,435,16,-0.5,30,0,5,-16,0,0,low,Yes,N,South,37.74073574,127.5329977
138,12/5/2018,JP,529,17,-1.6,35,0,5,-15.1,0,0,low,Yes,N,South,37.96345781,128.1061551
139,12/5/2018,JP,789,18,-2.6,40,0,5,-14.4,0,0,low,Yes,N,South,37.24537348,127.9935091
140,12/5/2018,JP,597,19,32,45,0,5,-13.5,0,0,low,Yes,N,South,37.21651501,127.6157344
141,12/5/2018,JP,418,20,-3.5,46,0,5,-13.4,0,0,low,Yes,N,South,37.73140291,127.762634
142,12/5/2018,JP,415,21,-3.7,47,0,5,-13.3,0,0,low,Yes,N,South,37.64541165,128.1477407
143,12/5/2018,JP,393,22,-2.8,49,0,5,-12,0,0,low,Yes,N,South,37.93730871,127.6180613
144,12/5/2018,JP,244,23,-2.5,59,0,4,-9.4,0,0,low,Yes,N,South,37.66134768,128.4659771
145,12/6/2018,JP,145,0,-2.8,77,0,2,-6.2,0,0.1,low,Yes,N,South,37.40498441,127.8607692
146,12/6/2018,JP,144,1,-3,79,0,2,-6.1,0,0,low,Yes,N,South,37.7646742,128.1706361
147,12/6/2018,JP,117,2,-3,79,0,4,-6.1,0,0,low,Yes,N,South,37.29207999,127.7455808
148,12/6/2018,JP,78,3,-3.2,78,0,4,-6.4,0,0.2,low,Yes,N,South,37.08131246,127.7631713
149,12/6/2018,JP,58,4,-3.4,75,0,4,-7.2,0,0,low,Yes,N,South,37.53773025,127.6364764
150,12/6/2018,JP,87,5,-3.6,76,0,4,-7.2,0,0,low,Yes,N,South,37.37282638,128.4729543
151,12/6/2018,JP,142,6,-3.7,76,0,4,-7.3,0,0,low,Yes,N,South,37.81369185,127.8371057
152,12/6/2018,JP,379,7,-4.2,77,0,4,-7.6,0,0,low,Yes,N,South,37.16069615,128.1604749
153,12/6/2018,JP,802,8,-4.2,78,0,4,-7.4,0.01,0,low,Yes,N,South,37.26903604,128.4562132
154,12/6/2018,JP,440,9,-3.3,70,0,4,-7.9,0.25,0,low,Yes,N,South,37.80073116,127.5483326
155,12/6/2018,JP,307,10,-0.9,64,0,4,-6.8,0.63,0,low,Yes,N,South,37.13880754,127.9974097
156,12/6/2018,JP,381,11,1.6,57,1.2,4,-6,0.93,0,low,Yes,N,South,37.72505765,127.9162907
157,12/6/2018,JP,405,12,2.4,52,0.9,4,-6.4,1.08,0,low,Yes,N,South,37.77369215,128.4473656
158,12/6/2018,JP,442,13,4.2,47,1.1,4,-6.1,1.1,0,low,Yes,N,South,37.45411755,127.877263
159,12/6/2018,JP,416,14,5.5,34,1,4,-9.1,0.96,0,low,Yes,N,South,37.64798607,128.0310446
160,12/6/2018,JP,412,15,5.5,31,3.1,4,-10.3,0.72,0,low,Yes,N,South,37.42304086,128.0399314
161,12/6/2018,JP,496,16,5.3,37,2.9,5,-8.2,0.36,0,low,Yes,N,South,37.4409652,127.6771886
162,12/6/2018,JP,239,17,4.1,60,2.5,4,-2.9,0.1,0,low,Yes,N,South,37.43732621,127.5347842
163,12/6/2018,JP,204,18,1.7,90,1,1,0.2,0,0.3,low,Yes,N,South,37.70267496,127.8001745
164,12/6/2018,JP,205,19,1.2,92,0.7,1,0,0,0,low,Yes,N,South,37.90562198,127.9245374
165,12/6/2018,JP,190,20,1.2,94,0.6,2,0.3,0,0,low,Yes,N,South,37.36657285,128.3294538
166,12/6/2018,JP,165,21,1.1,92,0.5,2,0,0,0.7,low,Yes,N,South,37.49707558,128.2447837
167,12/6/2018,JP,222,22,1.3,92,0.6,2,0.1,0,0,low,Yes,N,South,37.94588765,128.1495493
168,12/6/2018,JP,193,23,1.3,92,0.6,2,0.1,0,0,low,Yes,N,South,37.48633299,128.2717632
169,12/7/2018,JP,198,0,1.4,92,0.5,2,0.2,0,0,low,Yes,N,South,37.49693214,127.567354
170,12/7/2018,JP,218,1,1.5,92,0.4,2,0.3,0,0,low,Yes,N,South,37.41808373,127.8996311
171,12/7/2018,JP,149,2,1.4,92,0.7,1,0.2,0,0,low,Yes,N,South,37.54139493,128.0212962
172,12/7/2018,JP,102,3,1.9,91,1.4,2,0.5,0,0,,Yes,N,South,37.24125071,127.6439194
173,12/7/2018,JP,62,4,1.6,92,0.7,1,0.4,0,0,low,Yes,N,South,37.82103169,128.3444087
174,12/7/2018,JP,83,5,1.5,92,1.1,1,0.3,0,0,low,Yes,N,South,37.26172962,128.2228102
175,12/7/2018,JP,137,6,1,93,0.5,1,0,0,0,low,Yes,N,South,37.96469678,127.8085011
176,12/7/2018,JP,367,7,0.3,93,0.5,1,-0.7,0,0,low,Yes,N,South,37.21146674,127.9088564
177,12/7/2018,JP,754,8,-0.2,96,0.8,1,-0.7,0.01,0,low,Yes,N,South,37.24695245,127.5549516
178,12/7/2018,JP,415,9,0.1,91,0.8,2,-1.1,0.14,0,low,Yes,N,South,37.66740597,128.3896002
179,12/7/2018,JP,321,10,1.1,83,0.7,2,-1.4,0.41,0,low,Yes,N,South,37.44500327,128.0714695
180,12/7/2018,JP,333,11,2.3,69,1.7,2,-2.8,0.63,0,low,Yes,N,South,37.14923002,128.1906214
181,12/7/2018,JP,431,12,3.7,65,2.4,3,-2.2,0.98,0,low,Yes,N,South,37.81032196,127.5346236
182,12/7/2018,JP,394,13,4.1,37,3.1,4,-9.3,1.14,0,low,Yes,N,South,37.32783747,128.4289819
183,12/7/2018,JP,390,14,4.4,36,2.7,4,-9.4,1.04,0,low,Yes,N,South,37.31598375,128.4868332
184,12/7/2018,JP,430,15,4,35,3.1,4,-10.1,0.84,0,low,Yes,N,South,37.33598958,127.6714336
185,12/7/2018,JP,471,16,3.2,38,2.9,4,-9.7,0.51,0,low,Yes,N,South,37.70152904,128.205992
186,12/7/2018,JP,552,17,2.1,50,2,4,-7.2,0.15,0,low,Yes,N,South,37.13230077,127.5952559
187,12/7/2018,JP,795,18,0.7,46,2.7,4,-9.6,0,0,low,Yes,N,South,37.52983264,127.5464438
188,12/7/2018,JP,507,19,-0.4,47,2.5,4,-10.3,0,0,low,Yes,N,South,37.23373709,127.7292229
189,12/7/2018,JP,390,20,-1.4,47,2.5,4,-11.2,0,0,low,Yes,N,South,37.27781834,128.005411
190,12/7/2018,JP,402,21,-2.2,46,2.2,4,-12.2,0,0,low,Yes,N,South,37.91449347,128.2528931
191,12/7/2018,JP,389,22,-2.7,48,2.6,4,-12.2,0,0,low,Yes,N,South,37.56319732,127.9602723
192,12/7/2018,JP,259,23,-3.2,50,2.1,4,-12.1,0,0,low,Yes,N,South,37.78083604,128.1953379
193,12/8/2018,JP,233,0,-3.5,49,2.6,4,-12.6,0,0,low,Yes,N,South,37.35338305,128.3304453
194,12/8/2018,JP,230,1,-3.7,50,2.5,4,-12.6,0,0,low,Yes,N,South,37.53596921,127.943483
195,12/8/2018,JP,131,2,-4.3,53,1,4,-12.4,0,0,low,Yes,N,South,37.30844946,127.6860836
196,12/8/2018,JP,99,3,-4.8,52,1.6,4,-13.1,0,0,low,Yes,N,South,37.55957959,127.9736177
197,12/8/2018,JP,71,4,-5.3,53,2.4,4,-13.4,0,0,low,Yes,N,South,37.52541965,128.1486632
198,12/8/2018,JP,84,5,-5.8,56,2,4,-13.1,0,0,low,Y,N,South,37.50303643,127.596083
199,12/8/2018,JP,158,6,-6,56,3.5,4,-13.3,0,0,low,Yes,N,South,37.15290178,128.3745499
200,12/8/2018,JP,387,7,-6.5,57,0.8,4,-13.6,0,0,low,Yes,N,South,37.18887873,128.1506362
201,12/8/2018,JP,780,8,-7,59,0.8,4,-13.6,0.01,0,low,Yes,N,South,37.02016553,128.193726
202,12/8/2018,JP,395,9,-6.7,50,0.9,4,-15.4,0.23,0,low,Yes,N,South,37.34340659,127.6943396
203,12/8/2018,JP,261,10,-5.3,44,2.8,4,-15.6,0.63,0,,Yes,N,South,37.50499043,128.0874743
204,12/8/2018,JP,310,11,-3.7,39,1.4,4,-15.6,0.93,0,low,Yes,N,South,37.3348676,128.4221595
205,12/8/2018,JP,355,12,-2,30,1.4,4,-17.3,1.14,0,low,Yes,N,South,37.82405215,128.4238776
206,12/8/2018,JP,354,13,-1.7,,1.8,4,-17.8,1.22,0,low,Yes,N,South,37.11032112,127.7218577
207,12/8/2018,JP,350,14,-1.3,27,3.1,4,-17.9,1.12,0,low,Yes,N,South,37.7544014,128.0049804
208,12/8/2018,JP,362,15,-0.8,26,3.3,4,-17.9,0.87,0,low,Yes,N,South,37.32359158,127.778117
209,12/8/2018,JP,401,16,-1.1,24,3.4,5,-19.1,0.56,0,low,Yes,N,South,37.35253764,128.1588203
210,12/8/2018,JP,500,17,-2.4,30,2.7,5,-17.6,0.18,0,low,Yes,N,South,37.19963053,128.3551329
211,12/8/2018,JP,752,18,-3.1,33,1.2,5,-17.1,0,0,low,Yes,N,South,37.52784078,127.7654421
212,12/8/2018,JP,477,19,-3.3,35,1.1,5,-16.6,0,0,low,Yes,N,South,37.6607296,127.5788983
213,12/8/2018,JP,384,20,-3.3,34,1.5,5,-16.9,0,0,low,Yes,N,South,37.07102942,127.7869063
214,12/8/2018,JP,336,21,-3.3,35,0.5,5,-16.6,0,0,low,Yes,N,South,37.99280368,127.5474016
215,12/8/2018,JP,347,22,-3.4,39,1.2,5,-15.4,0,0,low,Yes,N,South,37.89975225,128.3034631
216,12/8/2018,JP,275,23,-3.5,43,0.9,5,-14.3,0,0,low,Yes,N,South,37.56781809,128.3139245
217,12/9/2018,JP,267,0,-3.5,48,0.9,4,-12.9,0,0,low,Yes,N,South,37.93076996,127.845986
218,12/9/2018,JP,296,1,-4.1,49,0.6,5,-13.2,0,0,low,Yes,N,South,37.14992601,127.7741975
219,12/9/2018,JP,237,2,-4.7,50,0.7,4,-13.5,0,0,low,Yes,N,South,37.00326543,127.6538334
220,12/9/2018,JP,169,3,-4.3,47,0.6,4,-13.9,0,0,low,Yes,N,South,37.29028248,127.5256391
221,12/9/2018,JP,96,4,-4.3,49,0.7,5,-13.4,0,0,low,Yes,N,South,37.96112962,127.9081657
222,12/9/2018,JP,56,5,-4.7,49,0.8,4,-13.8,0,0,low,Yes,N,South,37.95248088,127.7223396
223,12/9/2018,JP,76,6,-5.1,53,0.9,4,-13.2,0,0,low,Yes,N,South,37.50580011,127.6712218
224,12/9/2018,JP,127,7,-5.5,56,0.8,4,-12.9,0,0,low,Yes,N,South,37.90103937,127.9622374
225,12/9/2018,JP,222,8,-5.4,56,0.7,4,-12.8,0.01,0,low,Yes,N,South,37.35039319,128.1034666
226,12/9/2018,JP,291,9,-4.7,48,1,4,-14,0.23,0,low,Yes,N,South,37.62135295,127.9652365
227,12/9/2018,JP,273,10,-2.2,42,1.3,4,-13.4,0.61,0,low,Y,N,South,37.62436592,128.0874224
228,12/9/2018,JP,351,11,0,45,1.1,4,-10.5,0.89,0,low,Yes,N,South,37.52915449,127.7557632
229,12/9/2018,JP,427,12,2.4,40,0.8,4,-9.8,1.05,0,low,Yes,N,South,37.79845846,127.6551311
230,12/9/2018,JP,431,13,3.9,36,2,4,-9.8,1.13,0,low,Yes,N,South,37.85234446,127.8459213
231,12/9/2018,JP,486,14,4.7,32,2.2,4,-10.6,1.06,0,low,Yes,N,South,37.24803942,128.3855183
232,12/9/2018,JP,569,15,5.2,30,2,4,-11,0.84,0,low,Yes,N,South,37.7193616,127.9967893
